SK_ID_CURR,TARGET
171202,0.0
171203,0.0
171204,0.0
171205,1.0
171206,1.0
171207,1.0
171208,0.0
171209,1.0
171210,0.0
171211,1.0
171212,0.0
171213,0.0
171214,1.0
171215,0.0
171216,0.0
171217,1.0
171218,1.0
171219,1.0
171220,1.0
171221,1.0
171222,1.0
171223,1.0
171224,1.0
171225,1.0
171226,0.0
171227,0.0
171228,0.0
171229,0.0
171230,1.0
171231,0.0
171232,0.0
171233,1.0
171234,0.0
171235,0.0
171236,1.0
171237,1.0
171238,0.0
171239,1.0
171240,1.0
171241,1.0
171242,0.0
171243,0.0
171244,0.0
171245,1.0
171246,0.0
171247,0.0
171248,0.0
171249,0.0
171250,0.0
171251,1.0
171252,1.0
171253,0.0
171254,0.0
171255,1.0
171256,1.0
171257,1.0
171258,1.0826391748904042e-44
171259,0.0
171260,1.0
171261,1.0
171262,1.0
171263,1.0
171264,0.0
171265,1.0
171266,0.0
171267,0.0
171268,0.0
171269,0.0
171270,1.0
171271,0.0
171272,0.0
171273,0.0
171274,0.0
171275,1.0
171276,0.0
171277,1.0
171278,1.0
171279,1.0
171280,1.0
171281,1.0
171282,0.0
171283,0.0
171284,0.0
171285,0.0
171286,1.0
171287,1.0
171288,1.0
171289,1.0
171290,1.0
171291,0.0
171292,0.0
171293,1.0
171294,0.0
171295,0.0
171296,1.0
171297,0.0
171298,0.0
171299,1.0
171300,1.0
171301,0.0
171302,1.0
171303,1.0
171304,0.0
171305,0.0
171306,0.0
171307,0.0
171308,1.0
171309,0.0
171310,0.0
171311,1.0
171312,1.0
171313,0.0
171314,0.0
171315,0.0
171316,1.0
171317,0.0
171318,0.0
171319,1.0
171320,1.0
171321,0.0
171322,0.0
171323,1.0
171324,1.0
171325,0.0
171326,0.0
171327,1.0
171328,0.0
171329,0.0
171330,0.0
171331,0.0
171332,1.0
171333,0.0
171334,0.0
171335,1.0
171336,0.0
171337,1.0
171338,0.0
171339,1.0
171340,1.0
171341,1.0
171342,0.0
171343,0.0
171344,0.0
171345,1.0
171346,0.0
171347,1.0
171348,0.0
171349,1.0
171350,0.0
171351,1.0
171352,1.0
171353,1.0
171354,0.0
171355,0.0
171356,1.0
171357,1.0
171358,0.0
171359,0.0
171360,1.0
171361,1.0
171362,0.0
171363,0.0
171364,0.0
171365,1.0
171366,2.559302980591431e-165
171367,0.0
171368,1.0
171369,0.0
171370,0.0
171371,0.0
171372,0.0
171373,1.0
171374,0.0
171375,0.0
171376,0.0
171377,0.0
171378,1.0
171379,0.0
171380,0.0
171381,1.0
171382,0.0
171383,1.0
171384,1.0
171385,1.0
171386,1.0
171387,0.0
171388,1.0
171389,1.0
171390,1.0
171391,0.0
171392,0.0
171393,0.0
171394,0.0
171395,0.0
171396,1.0
171397,0.0
171398,0.0
171399,1.0
171400,0.0
171401,0.0
171402,1.0
171403,1.0
171404,1.0
171405,1.0
171406,0.0
171407,0.0
171408,1.0
171409,0.0
171410,1.0
171411,0.0
171412,0.0
171413,0.0
171414,1.0
171415,0.0
171416,0.0
171417,0.0
171418,0.0
171419,1.0
171420,0.0
171421,0.0
171422,1.0
171423,1.0
171424,1.0
171425,0.0
171426,0.0
171427,1.0
171428,0.0
171429,1.0
171430,0.0
171431,1.0
171432,1.0
171433,0.0
171434,0.0
171435,0.0
171436,1.0
171437,1.0
171438,1.0
171439,1.0
171440,0.0
171441,1.0
171442,1.0
171443,0.0
171444,0.0
171445,0.0
171446,1.0
171447,0.0
171448,0.0
171449,0.0
171450,1.0
171451,1.0
171452,1.0
171453,1.0
171454,1.0
171455,1.0
171456,0.0
171457,1.0
171458,0.0
171459,1.0
171460,1.0
171461,1.0
171462,0.0
171463,0.0
171464,0.0
171465,1.0
171466,1.0
171467,0.0
171468,1.0
171469,1.0
171470,1.0
171471,0.0
171472,1.0
171473,0.0
171474,0.0
171475,0.0
171476,1.0
171477,0.0
171478,0.0
171479,0.0
171480,0.0
171481,1.0
171482,1.0
171483,0.0
171484,1.0
171485,0.0
171486,0.0
171487,1.0
171488,0.0
171489,0.0
171490,0.0
171491,0.0
171492,1.0
171493,0.0
171494,1.0
171495,0.0
171496,1.0
171497,1.0
171498,0.0
171499,1.0
171500,1.0
171501,0.0
171502,0.0
171503,0.0
171504,1.0
171505,1.0
171506,0.0
171507,1.0
171508,0.0
171509,1.0
171510,0.0
171511,1.0
171512,1.0
171513,1.0
171514,1.0
171515,0.0
171516,0.0
171517,0.0
171518,1.0
171519,1.0
171520,1.0
171521,1.0
171522,0.0
171523,0.0
171524,0.0
171525,0.0
171526,0.0
171527,1.0
171528,0.0
171529,0.0
171530,1.0
171531,1.0
171532,1.0
171533,0.0
171534,0.0
171535,1.0
171536,0.0
171537,1.0
171538,0.0
171539,1.0
171540,0.0
171541,1.0
171542,0.0
171543,0.0
171544,0.0
171545,0.0
171546,0.0
171547,0.0
171548,1.0
171549,0.0
171550,0.0
171551,1.0
171552,0.0
171553,0.0
171554,0.0
171555,0.0
171556,0.0
171557,0.0
171558,1.0
171559,1.0
171560,1.0
171561,1.0
171562,1.0
171563,1.0
171564,1.0
171565,0.0
171566,1.0
171567,0.0
171568,0.0
171569,1.0
171570,1.0
171571,1.0
171572,1.0
171573,0.0
171574,0.0
171575,1.0
171576,0.0
171577,1.0
171578,0.0
171579,0.0
171580,1.0
171581,1.0
171582,1.0
171583,1.0
171584,0.0
171585,1.0
171586,1.0
171587,0.0
171588,0.0
171589,0.0
171590,1.0
171591,0.0
171592,0.0
171593,1.0
171594,0.0
171595,0.0
171596,1.0
171597,1.0
171598,1.0
171599,0.0
171600,1.0
171601,0.0
171602,0.0
171603,0.0
171604,0.0
171605,0.0
171606,0.0
171607,1.0
171608,0.0
171609,1.0
171610,0.0
171611,0.0
171612,0.0
171613,1.0
171614,1.0
171615,1.0
171616,1.0
171617,1.0
171618,0.0
171619,1.0
171620,0.0
171621,1.0
171622,0.0
171623,0.0
171624,1.0
171625,1.0
171626,0.0
171627,0.0
171628,0.0
171629,0.0
171630,1.0
171631,1.0
171632,0.0
171633,0.0
171634,0.0
171635,1.0
171636,1.0
171637,1.0
171638,0.0
171639,0.0
171640,1.0
171641,0.0
171642,0.0
171643,1.0
171644,0.0
171645,1.0
171646,0.0
171647,1.0
171648,0.0
171649,0.0
171650,1.0
171651,0.0
171652,1.0
171653,0.0
171654,1.0
171655,1.0
171656,0.0
171657,0.0
171658,1.0
171659,0.0
171660,0.0
171661,0.0
171662,0.0
171663,0.0
171664,1.0
171665,0.0
171666,1.0
171667,1.0
171668,1.0
171669,1.0
171670,1.0
171671,1.0
171672,1.0
171673,0.0
171674,1.0
171675,1.0
171676,0.0
171677,1.0
171678,1.0
171679,0.0
171680,1.0
171681,1.0
171682,1.0
171683,1.0
171684,0.0
171685,1.0
171686,1.0
171687,0.0
171688,0.0
171689,0.0
171690,1.0
171691,1.0
171692,0.0
171693,0.0
171694,1.0
171695,1.0
171696,0.0
171697,1.0
171698,1.0
171699,1.0
171700,0.0
171701,0.0
171702,0.0
